title,description,category,resolution,priority,request_type
replication lag ticket,replication lag unresponsive; missing index degraded during the night shift; replication lag failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query alert,noticed that slow query flapping; transaction rollback erratic during the night shift; slow query flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index request,escalated because missing index recurring; slow query intermittent for the team; missing index unstable,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan issue,users report query plan stalling; connection pool unresponsive in production; query plan degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
deadlock alert,noticed that deadlock degraded; transaction rollback delayed after the upgrade; deadlock degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
stored procedure report,monitoring flagged stored procedure unstable; query plan recurring across several users; stored procedure flapping,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index alert,ongoing missing index intermittent; table lock flapping in a branch office; missing index delayed,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool issue,escalated because connection pool failing; replication lag flapping in one department; connection pool recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
query plan issue,escalated because query plan flapping; table lock degraded at multiple sites; query plan unresponsive,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index alert,escalated because missing index unstable; query plan unresponsive for the team; missing index degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
connection pool report,tracking connection pool erratic; transaction rollback unresponsive in one department; connection pool degraded,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
table lock ticket,ongoing table lock unstable; transaction rollback erratic after the upgrade; table lock failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
slow query alert,monitoring flagged slow query unresponsive; connection pool recurring for the team; slow query failing,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
missing index ticket,we are seeing missing index delayed; vacuum flapping across several users; missing index recurring,Database,Analyzed query plan and locks; added the missing index and validated replication.,Medium,Incident
